NR_4.0_29909.1 4V9Q DV
NR_4.0_93100.1 7EQG M
NR_4.0_38180.1 5MFX B
NR_4.0_34492.3 398D C
NR_4.0_48575.1 7JL1 X,Y
NR_4.0_14757.1 5ZC9 B
NR_4.0_51791.1 3DH3 F,E
NR_4.0_91690.1 4WJ4 B
NR_4.0_41768.1 7VFT A
NR_4.0_17996.5 4J7L B
NR_4.0_79496.3 2DER D
NR_4.0_78541.1 8EUG 1,2
NR_4.0_71188.2 5TDJ A
NR_4.0_83277.1 7PZY 3
NR_4.0_40894.1 7OYB 51,81
NR_4.0_81676.1 6IFK N,J
NR_4.0_23520.1 6IP8 zy
NR_4.0_81584.1 6IP8 zz
NR_4.0_64004.1 8D1V J,N
NR_4.0_77411.1 7V2Z B
NR_4.0_54899.2 6KQF I
NR_4.0_97864.1 4WTD T,P
NR_4.0_70203.1 217D A
NR_4.0_72021.1 4PQV A
NR_4.0_08809.1 6UU3 333
NR_4.0_17501.1 5N61 S
NR_4.0_36938.1 5I9H B
NR_4.0_74559.1 7N0C T,D
NR_4.0_46784.1 7CYQ J,I
NR_4.0_97196.1 3V71 B
NR_4.0_95110.1 1RPU C,D
NR_4.0_32696.1 6D9J 4
NR_4.0_13974.1 7NJC B
NR_4.0_60167.4 3C3Z A,B
NR_4.0_83556.1 2R93 R
NR_4.0_25967.1 3ER8 H
NR_4.0_58433.1 3ER8 F
NR_4.0_53472.1 4DR7 b
NR_4.0_75381.1 1UN6 F
NR_4.0_13071.1 6EM3 2
NR_4.0_56778.1 6ZU5 L50
NR_4.0_17196.2 8GWE J,I
NR_4.0_19112.1 4MGN A
NR_4.0_31699.2 4MGN B
NR_4.0_39506.1 5F5F F
NR_4.0_45930.3 6CAP W,Y
NR_4.0_37308.1 5BKL e,P
NR_4.0_35127.1 6X5M r
NR_4.0_81784.2 7M8E 3
NR_4.0_43130.1 7Z42 V
NR_4.0_12406.3 7SYQ z
NR_4.0_37313.1 3JB7 t,m
NR_4.0_60222.1 5JBJ X,Y
NR_4.0_17773.1 3CIY C,D
NR_4.0_27290.1 419D C,D
NR_4.0_45527.1 4N2Q B
NR_4.0_00883.1 7V4G D
NR_4.0_99432.1 1DUH A
NR_4.0_88566.1 3MOJ A
NR_4.0_09020.1 5ELT F
NR_4.0_73836.1 5XLO K
NR_4.0_98455.1 8BVM u
NR_4.0_71916.1 7M57 W
NR_4.0_91710.1 7UZ0 A
NR_4.0_84294.1 6BM2 R
NR_4.0_51962.3 4YCP B
NR_4.0_06506.1 7KJT A
NR_4.0_43929.1 6UV1 C
NR_4.0_66187.1 2TMV R
NR_4.0_85514.1 1YYK C,D
NR_4.0_87893.1 1IHA A,B
NR_4.0_13614.1 6KWQ B
NR_4.0_31263.1 4ILL R
NR_4.0_20497.1 5O1Z B
NR_4.0_78714.1 5FMZ H
NR_4.0_88047.3 5UDI B
NR_4.0_86744.1 3SZX A,B
NR_4.0_06402.1 4AL5 B
NR_4.0_82735.1 4WTL T,P
NR_4.0_61877.2 7R6Q 6
NR_4.0_82938.1 1XNQ X,W
NR_4.0_39150.1 2CZJ H
NR_4.0_30383.1 7R81 t1
NR_4.0_37028.1 5XTM D
NR_4.0_87665.1 5D8T A,B
NR_4.0_14145.1 4WRT V,R
NR_4.0_27756.1 3D2V A
NR_4.0_89129.1 1Z7F B,C
NR_4.0_08929.1 5LTA E
NR_4.0_97847.1 6PUN B
NR_4.0_13174.1 4E58 D,C,E
NR_4.0_34992.1 3L25 C,F
NR_4.0_41357.1 5EV3 B
NR_4.0_34681.1 5THE H
NR_4.0_42021.1 7TRA R
NR_4.0_12260.3 3MXH R
NR_4.0_09398.1 7UO5 B
NR_4.0_19366.1 7F3I B
NR_4.0_91810.1 7OG0 E
NR_4.0_21191.1 3BNT A
NR_4.0_35535.1 1VQ6 4
NR_4.0_80808.1 6IFN N
NR_4.0_57417.1 3HO1 Y
NR_4.0_04426.1 4NHA B
NR_4.0_72182.1 4AM3 E
NR_4.0_95803.1 3BX3 C
NR_4.0_08420.1 2A43 A
NR_4.0_14518.1 1FUF A,B
NR_4.0_40597.1 2HW8 B
NR_4.0_43040.1 8A22 A5,A4
NR_4.0_70696.1 6L0Y A
NR_4.0_94066.5 6HA1 a
NR_4.0_13221.1 1H3E B
NR_4.0_73142.1 6XYW 2
NR_4.0_15780.1 6XYW 1
NR_4.0_56345.1 5SWD B
NR_4.0_42626.1 7OFZ C
NR_4.0_98950.1 6R9J B
NR_4.0_45605.1 5ED2 F,E
NR_4.0_41610.15 6TPQ U
NR_4.0_97435.11 6TPQ V
NR_4.0_13312.1 5Y6Z B,C
NR_4.0_06798.1 7WV3 E
NR_4.0_41668.1 4LJ0 C
NR_4.0_76177.1 2GXB E,F
NR_4.0_96169.2 7RYG A
NR_4.0_98152.1 4WTJ T,P
NR_4.0_36229.1 4XBF D
NR_4.0_97060.1 5T5H B
NR_4.0_20339.1 1NBS B
NR_4.0_09297.2 7O5B U
NR_4.0_31741.1 1HNW X
NR_4.0_55504.1 5JXS B,C
NR_4.0_11837.1 5KLA B
NR_4.0_26402.1 2NUG E,F,C,D
NR_4.0_85536.1 5W1H B
NR_4.0_99291.1 2QKB C
NR_4.0_67746.1 6RLP R
NR_4.0_58300.1 7UO7 T,P
NR_4.0_29537.1 6BHJ E
NR_4.0_81965.1 6N6D D
NR_4.0_39338.1 6TZ1 N
NR_4.0_40313.4 7ZHG 2
NR_4.0_89111.1 7U2I 1w
NR_4.0_65223.7 6Q1H D
NR_4.0_79575.1 5T5H H
NR_4.0_37371.1 7V6C C,D
NR_4.0_07714.1 6LSF C,B
NR_4.0_76114.1 3RKF C
NR_4.0_96182.1 7QEP 2
NR_4.0_01949.4 5UED A,B
NR_4.0_67642.1 7QEP 1
NR_4.0_25170.1 5BKL kk,TT
NR_4.0_75816.1 5VPP QV
NR_4.0_22223.1 3CGP B,A
NR_4.0_09702.1 4RJ1 B
NR_4.0_09148.1 4GZY R
NR_4.0_05271.1 8AS7 P,T,G
NR_4.0_28840.1 4A93 P
NR_4.0_84359.1 3S14 R
NR_4.0_18913.1 4QPX P,T
NR_4.0_56686.1 8A22 A3,A2
NR_4.0_32738.1 6XH2 D
NR_4.0_09431.1 4PR6 B
NR_4.0_07733.2 5EL4 3L
NR_4.0_42467.1 6XU8 A7
NR_4.0_20585.1 6ORD QY
NR_4.0_28720.1 4J1G E
NR_4.0_96572.1 1UVL B
NR_4.0_09827.1 3AVY T,G
NR_4.0_55569.1 7QGG E
NR_4.0_60828.6 6HIW CA
NR_4.0_63549.1 6HAK T,P
NR_4.0_98268.1 6CZR 1a
NR_4.0_06055.1 6SJD D
NR_4.0_82016.1 3DHS A
NR_4.0_05610.1 6Z6B HHH,XXX
NR_4.0_63837.1 5WTY D
NR_4.0_44680.1 7QGG v
NR_4.0_79985.1 7QGG u
NR_4.0_66547.1 5WTY C
NR_4.0_99751.1 2HVY E
NR_4.0_55925.1 4WSM 3L
NR_4.0_15952.1 1SI2 B
NR_4.0_85482.2 8EA4 7
NR_4.0_28506.1 3V6Y B
NR_4.0_24522.1 7DTE F,G
NR_4.0_60255.1 4LMZ B
NR_4.0_94767.1 6O5F D,C
NR_4.0_12763.23 7QI4 A
NR_4.0_30485.1 7OB9 R
NR_4.0_01166.1 7Z1L R
NR_4.0_42401.1 4RDX C
NR_4.0_11762.2 7L6T C
NR_4.0_64483.1 7M2V QQ
NR_4.0_24705.1 7TRC B
NR_4.0_25585.3 4Z4D B,D
NR_4.0_52761.1 3TD0 B,A
NR_4.0_19822.1 6RT6 A
NR_4.0_57264.1 7L0Z G
NR_4.0_90383.1 6KOO I
NR_4.0_67601.1 7MJV E
NR_4.0_21041.1 5MWI A
NR_4.0_96413.1 5LR5 C,D
NR_4.0_97269.1 6Q95 4
NR_4.0_06835.1 6YXX AA
NR_4.0_25771.1 5D0A F
NR_4.0_26284.1 1H4S T
NR_4.0_21052.1 7DOK T,P
NR_4.0_48365.1 1Y1Y P
NR_4.0_07184.1 2UXC X,Y
NR_4.0_86160.1 5BZ5 B
NR_4.0_02657.1 5ZUU I
NR_4.0_18162.1 1KQ2 R
NR_4.0_53424.1 2GUN B
NR_4.0_19502.2 4RGE C
NR_4.0_60469.1 4N0T B
NR_4.0_75719.1 8D9K C
NR_4.0_41718.1 4KYY A,B
NR_4.0_26393.1 7M3T ll
NR_4.0_98594.1 7O0G E
NR_4.0_40155.1 5AMR B,C
NR_4.0_24216.1 8D29 C
NR_4.0_69305.1 7AM2 R1
NR_4.0_92029.1 6UGI A
NR_4.0_45693.1 3VJR B
NR_4.0_24819.3 1IL2 C
NR_4.0_56838.1 8D29 F
NR_4.0_97214.1 3JBV W
NR_4.0_47265.1 8D29 J
NR_4.0_96851.1 7D8C B
NR_4.0_33750.1 3HOV P
NR_4.0_65028.2 359D B,A
NR_4.0_35459.1 6MKN X,W
NR_4.0_26892.1 5T5H E
NR_4.0_54575.1 5T5H D
NR_4.0_61171.1 6GSK 3L
NR_4.0_73441.1 5BJO E
NR_4.0_09770.1 246D A,B
NR_4.0_02402.1 4WTE T,P
NR_4.0_61167.1 4U35 B,A
NR_4.0_29312.1 2V6W A,B
NR_4.0_35919.1 7XSX P
NR_4.0_33278.1 5LYS B
NR_4.0_94396.3 4WAN B
NR_4.0_36712.2 1ZL3 B
NR_4.0_67474.1 5DCV D
NR_4.0_26115.1 3AVV T,G
NR_4.0_88473.1 7M3T TT,kk
NR_4.0_29205.1 4AOB A
NR_4.0_48252.1 5XUZ B
NR_4.0_45855.1 4V8Q BY
NR_4.0_28332.1 6JJI B
NR_4.0_26816.1 3K5Z B
NR_4.0_09629.1 7Y7S D
NR_4.0_92683.1 2G3S I,J
NR_4.0_04979.1 6AAY B
NR_4.0_08239.1 6E8S A
NR_4.0_15820.1 4EYA e,f
NR_4.0_10954.1 2E9R A,B
NR_4.0_40309.1 6T2C V
NR_4.0_10062.1 7M3T i,T
NR_4.0_19241.1 1JZV B,A
NR_4.0_31462.1 6VRB B
NR_4.0_46866.1 4BWM G
NR_4.0_94716.1 7NGA X,Y
NR_4.0_86033.1 6DCL D
NR_4.0_38306.1 6DCL C
NR_4.0_73378.1 4NH3 B
NR_4.0_17782.1 3R1C Q,R
NR_4.0_20814.1 3SUX X
NR_4.0_87852.1 5JCH U,V
NR_4.0_44115.1 7M50 WW,V
NR_4.0_72697.1 1T0E A,C
NR_4.0_49582.1 4FXD E
NR_4.0_88747.1 5NFV B
NR_4.0_34221.1 1B23 R
NR_4.0_49730.1 4X4V B
NR_4.0_88937.1 3S2H R
NR_4.0_07663.1 3RER K
NR_4.0_12869.1 4OQU A
NR_4.0_12548.1 6GSL 3L
NR_4.0_28969.1 4A36 R,S
NR_4.0_31728.1 7MJW G
NR_4.0_79566.1 6ZJ3 LO
NR_4.0_75200.1 4V2S Q
NR_4.0_21747.1 4TYY B
NR_4.0_95407.1 3R1D A,B
NR_4.0_40895.1 4JVY D
NR_4.0_88210.1 6UES A
NR_4.0_42548.1 5WZH B
NR_4.0_22632.1 4M6D H
NR_4.0_42813.3 6YXY AA
NR_4.0_18859.1 6JQ5 B,A
NR_4.0_73165.3 4PRF B
NR_4.0_03631.1 2A64 A
NR_4.0_13485.1 1U1Y R
NR_4.0_63356.1 7OYC 22
NR_4.0_18685.1 7VG3 D,C
NR_4.0_27448.1 7ORI T,P
NR_4.0_99121.1 5FQ5 A
NR_4.0_43299.1 5VW1 C
NR_4.0_85902.1 1CVJ M
NR_4.0_83641.1 4Y1M B
NR_4.0_52030.1 6H9H D
NR_4.0_08125.1 6Z1P Ab,Aa
NR_4.0_73942.1 1EFO B
NR_4.0_12173.1 2UXD Y,X
NR_4.0_93599.1 5UDZ W
NR_4.0_97043.1 6JVX B
NR_4.0_31329.1 6W62 B
NR_4.0_73146.1 4KHP X
NR_4.0_22527.1 7R9F B
NR_4.0_86590.1 7PLI C
NR_4.0_09579.1 5C5W A
NR_4.0_17943.1 7PLI G
NR_4.0_51758.1 7RE1 T,P
NR_4.0_82055.1 6ASO I
NR_4.0_47859.1 7NWG 33
NR_4.0_16983.1 1J9H A,B
NR_4.0_28858.1 6ZVK E1
NR_4.0_30457.14 7DCO B
NR_4.0_58396.1 7CXM L
NR_4.0_99878.1 7ML4 P
NR_4.0_46017.1 7SBA Z
NR_4.0_25813.1 3FTF C,D
NR_4.0_81724.1 3Q0N D
NR_4.0_49747.1 3NNH F
NR_4.0_98055.1 3Q0S B
NR_4.0_02872.1 6V4X Z,Y
NR_4.0_38259.1 5UK4 x
NR_4.0_19513.1 438D A,B
NR_4.0_58041.1 5F6C E
NR_4.0_08212.1 1XJR A
NR_4.0_99181.1 1MSW R
NR_4.0_59155.1 6RXU C1,C2
NR_4.0_80112.1 4RCJ B
NR_4.0_18395.1 7VKL B
NR_4.0_50188.1 6YDP BA
NR_4.0_57261.1 6GD3 P
NR_4.0_19188.1 4QEI C
NR_4.0_90687.1 1KH6 A
NR_4.0_54107.1 5ED1 C,B
NR_4.0_67726.2 5F9F F
NR_4.0_59755.1 2JLW D
NR_4.0_60897.2 6E0O C
NR_4.0_74849.1 1MMS C
NR_4.0_86272.1 3MEI A,B
NR_4.0_47541.1 3HTX B,C
NR_4.0_70040.1 5K36 L
NR_4.0_38498.1 5K36 M
NR_4.0_34349.1 6ZYM 6
NR_4.0_62870.1 2XB2 E
NR_4.0_13759.1 4EYA g,h
NR_4.0_99371.1 4FTS R
NR_4.0_51503.1 4X4N D
NR_4.0_25361.2 4E48 A,B
NR_4.0_40750.1 5ELH R
NR_4.0_58198.1 2R1S A,B
NR_4.0_29106.1 4QYZ L
NR_4.0_40545.1 3KNC B
NR_4.0_65073.1 3Q3Z V
NR_4.0_72319.1 5LR3 A,B
NR_4.0_58704.1 6O16 C
NR_4.0_08676.1 7PWG w
NR_4.0_14903.1 4Z7L I
NR_4.0_82540.1 7QR3 C
NR_4.0_08150.1 1YVP G
NR_4.0_20988.1 7NWG q3
NR_4.0_84195.1 5ZSB C
NR_4.0_35448.1 3JCS 5
NR_4.0_03414.1 3JCS 6
NR_4.0_40535.1 3JCS 3
NR_4.0_76733.1 3DD2 B
NR_4.0_49339.2 5DHC C,D
NR_4.0_41425.1 6DTD C
NR_4.0_23180.1 1HYS E
NR_4.0_47330.1 3SKL B
NR_4.0_13685.1 4PMW D
NR_4.0_74739.1 6IV6 G
NR_4.0_07071.1 6JJH B
NR_4.0_37298.1 2ASB B
NR_4.0_75510.1 6UTV 333
NR_4.0_64766.1 6F4H D
NR_4.0_80904.1 3FHT C
NR_4.0_60125.3 6T4Q 6
NR_4.0_17498.1 3ICQ E
NR_4.0_26576.1 4LCK F
NR_4.0_17852.1 3CGR B,A
NR_4.0_04560.1 8BF5 M,R
NR_4.0_38078.1 3MJ0 B
NR_4.0_99785.1 7UZW G
NR_4.0_29127.1 6ZM6 x
NR_4.0_15144.1 3FHT D
NR_4.0_99060.1 353D A,B
NR_4.0_62396.2 6ZQC D2
NR_4.0_47865.1 6LQS 3A,5A
NR_4.0_46764.1 4V5K CX
NR_4.0_47836.1 6LAX A
NR_4.0_97773.1 6YDP AV
NR_4.0_41012.1 6RR7 D,E
NR_4.0_46370.1 5K8H A
NR_4.0_08084.1 6PZQ J,I
NR_4.0_37848.1 6HTU D,F
NR_4.0_78065.1 3S15 R
NR_4.0_36664.1 6H9H E
NR_4.0_17061.1 7MKO R
NR_4.0_45291.1 7OGM P
NR_4.0_82818.1 4KRF R
NR_4.0_76442.1 3JB9 N,P
NR_4.0_35335.1 5Z4A B
NR_4.0_51489.1 6ZU5 L70
NR_4.0_10014.1 3QGC B
NR_4.0_22144.1 6TZ2 N,T,M
